1,1,1,1,2,1,1,11,1,1,111,0,949,2.9773,6,3
1,1,1,1,2,1,1,3,2,0,1,1,4965,3.6959,4,4
1,1,1,1,2,2,0,7,3,1,7,1,2090,3.3201,99,99
1,1,1,1,2,2,0,3,4,0,3,1,946,2.9759,99,99
1,1,1,1,2,1,0,7,5,1,0,1,2055,3.3128,99,99
1,1,1,1,2,1,0,11,6,0,0,1,1004,3.0017,99,99
1,1,1,1,2,2,0,11,7,1,11,1,2735,3.437,99,99
1,1,1,1,2,2,1,11,8,0,11,1,1147,3.0596,9,4
1,1,1,1,2,1,0,3,9,1,111,0,745,2.8722,99,99
1,1,1,1,2,1,1,7,10,0,1,1,3234,3.5097,3,2
1,1,1,1,2,2,1,7,11,1,7,1,1422,3.1529,5,1
1,1,1,1,2,2,1,3,12,0,3,1,1119,3.0488,2,4
